CustomerID,frequency,recency,T,monetary_value,predicted_purchases,prob_alive,CLV_Probabilistic
12346,0.0,0.0,326.0,0.0,0.2289476997829734,1.0,109.29513042438637
12347,6.0,365.0,368.0,599.7016666666667,1.2971594748763937,0.8535321452778156,0.0
12348,3.0,283.0,359.0,301.48,0.5789409730932895,0.6593110694332518,0.0
12349,0.0,0.0,19.0,0.0,0.3771171852434417,1.0,180.02832955094271
12350,0.0,0.0,311.0,0.0,0.23341639807428427,1.0,111.42839912740907
12352,6.0,260.0,297.0,368.25666666666666,1.3322512540106246,0.8012389540288487,0.0
12353,0.0,0.0,205.0,0.0,0.27079792845092504,1.0,129.2736067527794
12354,0.0,0.0,233.0,0.0,0.2598008763336031,1.0,124.02383029035668
12355,0.0,0.0,215.0,0.0,0.26676450600497836,1.0,127.3481301801636
12356,2.0,303.0,326.0,269.90500000000003,0.44196822348414083,0.6439250657683463,0.0
12357,0.0,0.0,34.0,0.0,0.36550986114813566,1.0,174.48722124508438
12358,1.0,149.0,151.0,683.2,0.29361070521349825,0.49809201781604806,0.0
12359,3.0,274.0,332.0,1941.6933333333334,0.6177941397490035,0.680300147665439,0.0
12360,2.0,148.0,201.0,789.24,0.48950555858024464,0.5993221062771255,0.0
12361,0.0,0.0,288.0,0.0,0.2406193440902147,1.0,114.86694393479165
12362,9.0,292.0,296.0,527.4588888888889,2.1272234145147353,0.8943988783829712,13240.212121257704
12363,1.0,133.0,243.0,252.9,0.20634007772633342,0.403079678698123,0.0
12364,3.0,105.0,113.0,229.7266666666667,0.9270397195576474,0.7372504502137704,0.0
12365,0.0,0.0,292.0,0.0,0.23933474360376666,1.0,114.2537009197159
12367,0.0,0.0,5.0,0.0,0.3886447333515221,1.0,185.531354369014
12370,3.0,309.0,361.0,651.6233333333333,0.6052338683041234,0.6909415380717854,0.0
12371,1.0,15.0,60.0,360.0,0.3090305303748544,0.44550717709008875,0.0
12372,2.0,225.0,297.0,449.41,0.41849304122770914,0.5871539199718572,0.0
12373,0.0,0.0,312.0,0.0,0.23311304029280136,1.0,111.2835820869939
12374,0.0,0.0,26.0,0.0,0.37160899537258585,1.0,177.39882800579443
12375,1.0,88.0,99.0,227.20000000000002,0.3148071669178979,0.48824044965592317,0.0
12377,1.0,39.0,355.0,626.6,0.10724788601315388,0.24301220073659702,0.0
12378,0.0,0.0,130.0,0.0,0.30546762868891525,1.0,145.82423998856837
12379,1.0,89.0,171.0,392.4,0.23922391002846968,0.4192050749903156,0.0
12380,3.0,164.0,186.0,705.7533333333332,0.8008158280117758,0.7186352362023044,0.0
12381,4.0,115.0,120.0,144.14249999999998,1.229042058182799,0.7916183007506116,0.0
12383,4.0,168.0,353.0,312.46,0.5301419901281829,0.47946813288050566,0.0
12384,1.0,93.0,122.0,292.58000000000004,0.29091746012456693,0.46992137639679593,0.0
12386,1.0,29.0,367.0,143.0,0.09929267242223186,0.22830787485530504,0.0
12388,5.0,311.0,327.0,469.872,1.114520575568478,0.813081001860852,0.0
12390,0.0,0.0,80.0,0.0,0.33402289180971434,1.0,159.4559611635304
12391,0.0,0.0,22.0,0.0,0.374736432372894,1.0,178.8918049396826
12393,3.0,260.0,333.0,373.3666666666666,0.5983689165699746,0.6597439843770532,0.0
12394,1.0,154.0,218.0,891.4,0.2352072389938387,0.4430526828813202,0.0
12395,10.0,352.0,372.0,267.253,2.09396905737899,0.8810989649810748,3172.812198812052
12397,1.0,100.0,136.0,1195.09,0.280131922350825,0.4634730315968347,0.0
12398,0.0,0.0,46.0,0.0,0.3567313959226365,1.0,170.29655454410263
12399,3.0,142.0,262.0,273.53333333333336,0.5631254213260242,0.5651073318105265,0.0
12401,0.0,0.0,304.0,0.0,0.23556231573144687,1.0,112.45281802500841
12402,0.0,0.0,324.0,0.0,0.22953357151899034,1.0,109.5748140720519
12403,0.0,0.0,50.0,0.0,0.35389916598316723,1.0,168.94450365684946
12405,0.0,0.0,149.0,0.0,0.29586549800678125,1.0,141.24037159307605
12406,1.0,161.0,184.0,1794.05,0.2677774216341201,0.4789701895862782,0.0
12407,4.0,215.0,265.0,370.455,0.9014720938023303,0.7267747463508576,0.0
12408,3.0,228.0,261.0,683.6533333333333,0.7062645492897828,0.7077644711264953,0.0
12409,2.0,104.0,183.0,2432.795,0.468778994344262,0.5582255674837256,0.0
12410,0.0,0.0,309.0,0.0,0.2340254992412896,1.0,111.71917204870331
12412,2.0,95.0,170.0,356.19,0.48143455126646945,0.5616322986082548,0.0
12413,2.0,271.0,338.0,139.425,0.40410863916373163,0.5977813926623139,0.0
12414,2.0,93.0,311.0,204.325,0.2714225374353383,0.38787818285779135,0.0
12415,15.0,313.0,338.0,7860.21,3.2233944905674754,0.8943049798641035,56141.418992966355
